Ovary_1	Ovary_2	Ovary_3	Testis_1	Testis_2	Testis_3
1963	1881	1076	860	967	684
3137	3238	1852	2357	2838	2146
7	12	6	10	11	7
1065	1040	639	6232	8224	7144
0	6	0	1	7	3
33	113	36	50	36	11
179	284	126	403	450	394
1201	965	561	2223	2144	1698
7083	7088	4311	2679	3369	3399
24	11	3	7	11	5
5634	5853	2905	3338	4111	3008
479	463	287	1126	1396	1238
1	0	1	16	21	10
2265	1646	882	730	1116	787
10937	9481	3694	1709	1522	1937
987	781	348	71	116	87
713	695	198	1355	528	463
1325	1601	691	505	536	437
340	195	253	78	158	134
2	14	0	28	1	1
56	202	8	1	0	1
0	1	1	4	8	4
798	741	340	289	321	256
1724	1169	723	1928	2271	2005
373	162	188	190	252	165
455	715	270	225	169	139
0	0	0	0	0	0
5056	5088	2749	3365	4792	3907
392	494	216	945	1191	957
2	1	1	2	7	1
1	0	0	0	0	1
0	0	0	1	1	0
0	0	0	1	1	1
1114	918	649	497	623	675
0	1	0	7	5	4
25	19	10	18	23	20
1892	1637	822	622	634	631
2638	2795	1398	1289	1644	1391
383	338	169	40	52	28
2905	2495	1460	4816	5852	5340
255	346	164	36	19	58
1092	1011	536	1231	1317	1043
20	25	13	16	15	11
880	778	362	334	344	276
210	225	133	165	252	132
5180	5623	2512	7273	6799	7615
6	3	1	4	9	9
3	6	3	67	78	52
6	6	1	106	94	133
1554	1597	822	1329	1735	1306
14	8	0	7	17	5
5	2	0	6	22	5
1	1	17	1	1	0
0	1	0	6	12	10
1905	1957	1047	1245	1650	1189
18	16	86	3	4	1
1717	1870	780	114	246	102
74	128	28	25	29	23
1	3	1	1	2	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	0	0	0	1
17	16	18	33	64	29
4254	4506	2561	5255	7765	6579
270	235	86	229	305	196
2564	2290	1225	379	552	387
1527	1437	925	525	601	491
25	69	18	46	43	19
386	235	376	69	61	33
0	0	1	54	1	0
0	0	0	2	0	0
2	0	0	1	0	5
0	2	0	1	0	0
1	0	1	0	0	0
0	0	0	0	0	0
0	0	0	7	1	0
0	0	0	3	2	1
0	0	0	0	1	0
28	35	15	60	325	170
91	103	54	251	317	249
1087	1128	549	1105	1863	1552
0	2	3	796	1100	885
4	9	1	7	11	14
28	43	21	2634	2617	1526
1447	1442	692	832	974	789
0	0	0	2	2	3
0	0	0	3	18	6
199	369	137	51	92	52
12965	13056	7119	3325	4108	2833
435	430	167	152	165	143
4979	4325	1859	8232	9733	7342
0	0	0	11	12	7
429	511	268	332	461	364
4302	3168	2396	336	341	387
2	1	0	38	11	7
1498	1505	906	127	176	122
0	0	0	1	1	3
2	1	1	194	178	84
443	505	320	8787	11567	9103
0	0	0	0	0	0
7	52	7	2	0	2
17	21	25	1	1	4
89	141	67	38	65	30
450	622	294	533	558	350
2380	2134	1614	1741	2401	1488
0	0	1	0	9	5
7083	7286	4422	2714	2728	2326
43	9	14	76	48	24
99	169	11	447	242	87
1	2	0	153	89	89
3	22	1	105	60	56
77	69	21	62	95	45
247	369	463	110	347	222
139	262	97	52	122	48
656	501	355	294	336	272
90	60	46	59	87	49
0	0	0	3	0	3
313	342	206	68	137	89
308	537	105	2	9	3
2	4	0	1	0	0
0	1	1	188	230	305
0	0	0	3	6	4
52	41	15	998	1442	847
208	143	104	1	5	3
0	0	0	0	0	4
78	77	55	3	9	8
45	74	31	3	4	4
1	2	0	3	1	3
226	248	97	18133	21788	14575
689	703	311	238	270	176
851	1055	531	86627	116879	75594
247	309	183	37945	52547	30558
908	1107	488	2601	2718	1990
0	0	0	0	0	0
125	201	72	3	9	4
0	0	0	0	0	0
2	3	0	0	3	1
8	2	1	0	0	0
227	264	103	11	25	13
571	636	303	304	413	379
0	0	2	16	10	13
1277	1557	667	1165	1571	1052
545	754	326	671	914	550
4	5	1	15	15	12
15	10	7	158	157	94
2	1	1	49	44	38
0	0	0	4	4	6
0	0	0	0	1	0
0	0	1	33	0	0
0	0	0	1	2	4
0	1	1	2	2	0
2	0	2	5	1	4
7	2	0	10	25	7
2	1	0	43	122	54
3668	1819	3853	147	356	236
11891	8858	7210	198	434	435
2	2	1	25	20	36
0	1	0	42	108	42
11167	9662	5756	1644	1782	1500
1673	1803	1193	2440	2454	2143
4	3	0	1	0	0
5	3	2	3	8	5
2	32	1	10	9	13
4	2	10	1	1	1
0	0	0	1	2	0
0	1	0	11	27	45
2036	1804	1064	149	223	249
1496	1627	737	472	551	465
893	1084	510	222	269	234
9	15	8	5	5	4
52	45	43	75	67	70
374	318	232	218	261	184
0	0	0	2	1	4
6	0	1	1	0	2
1642	1274	839	238	277	226
2786	2425	1476	1126	1463	915
1183	1579	461	193	168	158
109	123	85	85	73	92
881	657	474	1683	1864	1631
960	916	511	1893	1942	1595
1248	682	435	781	1074	717
751	456	225	663	1051	670
21	14	6	512	508	405
5567	5202	2550	1231	1668	1268
929	871	494	821	1229	985
204	386	203	21	28	33
1691	1664	827	541	503	409
15	9	3	9	19	16
4	7	3	5	6	7
3333	3017	1515	323	305	266
0	0	0	2	11	9
949	1106	477	60	73	51
1161	1172	563	1025	1184	940
82	46	36	9936	12664	8832
1324	1252	694	1438	1671	1405
1	0	0	5	3	0
0	1	0	3	3	2
0	0	0	0	0	0
1	0	0	1	0	2
0	0	0	0	0	0
1	0	0	1	0	0
0	0	0	0	0	0
0	0	1	0	0	1
0	0	0	0	0	0
1	0	1	0	0	0
0	0	0	12	17	3
1	0	0	13	1	13
0	0	0	6	13	9
0	0	0	4	3	5
10	2	5	16	19	13
10	2	3	3	6	2
2909	2940	1872	1253	1486	1271
7446	7072	4032	3816	4408	3556
15	6	3	4	6	0
554	380	233	719	1117	606
1165	476	512	282	360	248
161	188	82	428	554	459
1121	979	768	567	717	567
3725	3508	1662	765	1011	774
937	1009	673	788	801	729
1	4	2	35	42	40
1	2	0	16	22	29
29	34	25	14	46	43
524	763	391	81	181	117
36	52	12	116	96	103
1	23	6	242	219	205
2414	2333	1192	554	686	636
2139	2014	1012	1023	1352	993
2334	3016	1552	1408	2190	1706
3567	3192	1828	2130	2887	2217
1	33	7	81	50	60
90	86	34	832	757	635
2062	2262	1242	1442	1715	1481
587	593	502	191	278	354
131	81	51	28	27	29
20	17	6	1220	1623	1109
26	67	70	3	9	8
3323	2376	1617	135	187	116
16	14	6	8	4	5
24821	14858	6155	43	66	59
31	75	29	0	4	0
25	16	11	11	3	7
19	15	8	12	19	17
2793	3154	1717	1399	1712	1516
1	2	1	4	2	5
77	71	40	20	25	45
60	55	23	564	401	336
27	33	11	7	2	2
12	3	2	5	1	1
9	17	7	1	1	2
15	11	5	126	227	133
50	54	26	462	677	312
3	0	0	2	0	1
35	21	20	7	11	9
16	8	4	7	11	0
79	39	23	8	27	17
67	47	30	19	33	22
162	114	64	627	532	439
61	53	32	4	0	1
2	5	0	2	2	1
1	0	2	1	0	0
5	9	4	2	1	0
31	39	22	20	1	1
59	41	24	12	8	24
